staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
hbl-248,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,18,22,1352,44,SG Flensburg-Handewitt,6,fussball.de
hbl-254,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,18,15,922,30,VfL Lübeck-Schwartau,4,fussball.de
14054,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,16,8,497,16,HC Empor Rostock,2,fussball.de
14053,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,16,8,503,16,VFL Fredenbeck,2,fussball.de
14056,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,16,8,471,16,SG Pforzheim/Eutingen,3,fussball.de
14055,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,16,7,428,14,Saase3 Leutershausen Handball,2,fussball.de
12902,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,14,0,0,0,BTB Aachen,0,fussball.de
13540,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,14,4,222,8,TSV Ellerbek,2,fussball.de
12649,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,14,0,0,0,Allgemeiner Sportverein Hamm-Westfalen e.V. II,0,fussball.de
13248,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,14,5,284,10,TV Homburg 1,2,fussball.de
12373,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Männer (100),14,1,62,2,TH Eilbeck,2,fussball.de
17158,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Senioren (300),6,0,0,0,AMTV Hamburg Ü40,0,fussball.de
12904,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 1,14,0,0,0,1.Fc KÖLN,0,fussball.de
12905,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 2,14,0,0,0,Bergische Panther II,0,fussball.de
12906,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 3,14,0,0,0,ASV Süchteln 1M,0,fussball.de
12401,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,M-OL,12,4,221,8,TV Offenbach,2,fussball.de
12820,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Männer · Handballverband Rheinland,12,0,0,0,DJK/MJC Trier,0,fussball.de
14368,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Männer,13,0,0,0,DJK Marpingen,0,fussball.de
12542,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS MÄNNER,12,0,0,0,BSV Limbach-O.,0,fussball.de
15097,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,14,4,240,8,TSV Hürup II,2,fussball.de
12646,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Männer Oberliga Staffel 1,14,0,0,0,ASV Senden E.V.,0,fussball.de
12647,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Männer Oberliga Staffel 2,13,0,0,0,Ahlener SG 93 e.V. II,0,fussball.de
16949,Hamburger Handballverband,Hamburger Handballverband,6,Verbandsliga,Freiwurf-Liga Hamburg (910),4,0,0,0,Elmshorner HT (FWL),0,fussball.de
12912,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Männer Gr. 1,14,0,0,0,Alstadener TUS,0,fussball.de
12914,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Männer Gr. 2,14,0,0,0,DJK GRÜN Weiss Werden,0,fussball.de
12917,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Männer Gr. 3,14,0,0,0,Cronenberger TG,0,fussball.de
12920,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Männer Gr. 4,14,0,0,0,ATV Hückeswagen,0,fussball.de
12921,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Männer Gr. 5,14,0,0,0,1.Fc KÖLN II,0,fussball.de
12922,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Männer Gr. 6,14,0,0,0,Handball Oppum II,0,fussball.de
12467,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,6,Verbandsliga,VL-M,12,4,242,8,HSG Dudenhofen/Schifferstadt 2,2,fussball.de
12824,Handballverband Rheinland,Handballverband Rheinland,6,Verbandsliga,Verbandsliga Männer · Handballverband Rheinland,11,0,0,0,DJK St. Matthias Trier,0,fussball.de
14383,Handballverband SAAR,Handballverband SAAR,6,Verbandsliga,Verbandsliga Männer,13,0,0,0,ASC Quierschied,0,fussball.de
12571,Handballverband Sachsen,Handballverband Sachsen,6,Verbandsliga,Verbandsliga Ost,12,0,0,0,ESV Dresden,0,fussball.de
12572,Handballverband Sachsen,Handballverband Sachsen,6,Verbandsliga,Verbandsliga West,12,0,0,0,Germania Zwenkau,0,fussball.de
14064,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,6,Verbandsliga,Meisterrunde - Nord,12,4,194,8,HSG Marne/Brunsbüttel,2,fussball.de
14063,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,6,Verbandsliga,Meisterrunde - Süd,12,4,215,8,TSV Schwarzenbek,2,fussball.de
12653,Handballverband Westfalen,Handballverband Westfalen,6,Verbandsliga,HVW Männer Verbandsliga Staffel 1,14,0,0,0,1. Herren,0,fussball.de
12654,Handballverband Westfalen,Handballverband Westfalen,6,Verbandsliga,HVW Männer Verbandsliga Staffel 2,14,0,0,0,HC Westfalia Herne E.V. II,0,fussball.de
12655,Handballverband Westfalen,Handballverband Westfalen,6,Verbandsliga,HVW Männer Verbandsliga Staffel 3,14,0,0,0,ATV Dorstfeld 1878 E.V.,0,fussball.de
13427,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 1 (121),12,0,0,0,Barmstedter MTV,0,fussball.de
13428,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 2 (122),12,0,0,0,AMTV Hamburg II,0,fussball.de
17292,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Senioren (320),8,0,0,0,FC St. Pauli Ü40,0,fussball.de
14717,HK Aachen-Düren,HK Aachen-Düren,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga,12,0,0,0,BTB Aachen IV,0,fussball.de
12899,HK Bonn-Euskirchen-Sieg,HK Bonn-Euskirchen-Sieg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer,11,0,0,0,Godesberger TV,0,fussball.de
16926,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Nord- BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),12,0,0,0,Cronenberger TG II,0,fussball.de
16008,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Süd - BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),12,0,0,0,Bergische Panther III,0,fussball.de
15673,HK Krefeld-Grenzland,HK Krefeld-Grenzland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,BOL Männer,13,1,0,2,HSV Rheydt,1,fussball.de
12887,HK Köln-Rheinberg,HK Köln-Rheinberg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer · HK Köln-Rheinberg,12,0,0,0,HGV Hürth-Gleuel,0,fussball.de
12955,HK Oberberg,HK Oberberg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer · HK Oberberg,8,0,0,0,CVJM Oberwiehl II,0,fussball.de
12778,HK Rhein-Ruhr,HK Rhein-Ruhr,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,REGIONSOBERLIGA MÄNNER,14,0,0,0,Alstadener TUS II,0,fussball.de
13063,HK Wesel,HK Wesel,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer,12,0,0,0,HC TV Rhede II,0,fussball.de
13114,HR Leipzig,HR Leipzig,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Leipzig,8,0,0,0,HSV Mölkau - Die Haie,0,fussball.de
13108,HR Ostsachsen,HR Ostsachsen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Ostsachsen,11,0,0,0,HSV 1923 Pulsnitz II,0,fussball.de
13101,HR Sachsen-Mitte,HR Sachsen-Mitte,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer,12,0,0,0,ESV Dresden II,0,fussball.de
12709,HR Südwestsachsen,HR Südwestsachsen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Südwestsachsen,12,1,0,2,HC Einheit Plauen II,1,fussball.de
13431,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 1 (131),9,0,0,0,1. HC Quickborn,0,fussball.de
13433,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 2 (132),9,0,0,0,ETV Hamburg III,0,fussball.de
13436,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 4 (134),9,0,0,0,2.Herren,0,fussball.de
