rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
1,THW Kiel,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,3,2,2,0,0,71,55,16,4,2.0,,fussball.de
2,HBW Balingen-Weilstetten,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,4,2,2,0,0,66,53,13,4,2.0,,fussball.de
3,SG Flensburg-Handewitt,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,1,3,3,0,0,105,93,12,6,2.0,,fussball.de
4,SC Magdeburg,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,5,2,2,0,0,69,63,6,4,2.0,,fussball.de
5,TSV Hannover-Burgdorf,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,2,3,2,1,0,90,87,3,5,1.67,,fussball.de
6,TVB Stuttgart,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,8,2,1,1,0,64,63,1,3,1.5,,fussball.de
7,MT Melsungen,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,6,3,1,1,1,93,82,11,3,1.0,,fussball.de
8,VfL Gummersbach,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,7,3,1,1,1,93,90,3,3,1.0,,fussball.de
9,Füchse Berlin,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,9,2,1,0,1,65,67,-2,2,1.0,,fussball.de
10,TBV Lemgo Lippe,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,10,2,1,0,1,58,62,-4,2,1.0,,fussball.de
11,SG BBM Bietigheim,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,12,2,1,0,1,63,69,-6,2,1.0,,fussball.de
12,FRISCH AUF! Göppingen,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,13,2,1,0,1,50,61,-11,2,1.0,,fussball.de
13,Rhein-Neckar Löwen,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,11,3,1,0,2,84,89,-5,2,0.67,,fussball.de
14,Handball Club Hamburg,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,14,3,0,1,2,88,94,-6,1,0.33,,fussball.de
15,HC Erlangen,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,15,3,0,1,2,91,98,-7,1,0.33,,fussball.de
16,Bergischer HC,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,17,3,0,0,3,84,91,-7,0,0.0,,fussball.de
17,HSG Wetzlar,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,16,2,0,0,2,60,66,-6,0,0.0,,fussball.de
18,ThSV Eisenach,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,18,2,0,0,2,58,69,-11,0,0.0,,fussball.de
19,VfL Eintracht Hagen,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,6,1,1,0,0,41,23,18,2,2.0,,fussball.de
20,VfL Lübeck-Schwartau,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,1,2,2,0,0,76,54,22,4,2.0,,fussball.de
21,TV 05/07 Hüttenberg,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,7,1,1,0,0,42,34,8,2,2.0,,fussball.de
22,HC Elbflorenz 2006,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,2,2,2,0,0,75,62,13,4,2.0,,fussball.de
23,TuS Ferndorf,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,3,2,2,0,0,65,53,12,4,2.0,,fussball.de
24,HSG Nordhorn-Lingen,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,4,2,2,0,0,60,49,11,4,2.0,,fussball.de
25,SC DHfK Leipzig,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,5,2,2,0,0,57,51,6,4,2.0,,fussball.de
26,1. VfL Potsdam,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,9,1,1,0,0,31,30,1,2,2.0,,fussball.de
